time (s),v("/Z7" ?result "tran") (V),v("/Z6" ?result "tran") (V),v("/Z5" ?result "tran") (V),v("/Z4" ?result "tran") (V),v("/Z3" ?result "tran") (V),v("/Z2" ?result "tran") (V),v("/Z1" ?result "tran") (V),v("/Z0" ?result "tran") (V),v("/X3" ?result "tran") (V),v("/X2" ?result "tran") (V),v("/X1" ?result "tran") (V),v("/X0" ?result "tran") (V),v("/Y3" ?result "tran") (V),v("/Y2" ?result "tran") (V),v("/Y1" ?result "tran") (V),v("/Y0" ?result "tran") (V)
0.000,1.200,1.200,1.200,49.17E-9,194.9E-9,194.9E-9,194.9E-9,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200
9.766E-15,1.200,1.200,1.200,-1.660E-9,-2.038E-6,-2.043E-6,-4.541E-6,1.200,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199
29.30E-15,1.200,1.200,1.200,-190.3E-9,-8.999E-6,-9.032E-6,-19.22E-6,1.200,1.196,1.196,1.196,1.196,1.196,1.196,1.196,1.196
68.36E-15,1.200,1.200,1.200,-614.1E-9,-23.86E-6,-23.96E-6,-50.51E-6,1.200,1.192,1.192,1.192,1.192,1.192,1.192,1.192,1.192
146.5E-15,1.200,1.200,1.200,-1.457E-6,-53.33E-6,-53.57E-6,-112.6E-6,1.199,1.182,1.182,1.182,1.182,1.182,1.182,1.182,1.182
302.7E-15,1.200,1.200,1.200,-2.970E-6,-107.7E-6,-108.2E-6,-227.5E-6,1.198,1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164
615.2E-15,1.200,1.200,1.200,-5.453E-6,-201.0E-6,-201.9E-6,-425.9E-6,1.197,1.126,1.126,1.126,1.126,1.126,1.126,1.126,1.126
1.240E-12,1.200,1.200,1.200,-8.497E-6,-331.5E-6,-333.1E-6,-711.3E-6,1.195,1.051,1.051,1.051,1.051,1.051,1.051,1.051,1.051
2.085E-12,1.200,1.200,1.200,-9.696E-6,-422.0E-6,-423.9E-6,-914.0E-6,1.193,949.8E-3,949.8E-3,949.8E-3,949.8E-3,949.8E-3,949.8E-3,949.8E-3,949.8E-3
3.169E-12,1.200,1.200,1.200,-8.634E-6,-444.9E-6,-446.6E-6,-974.7E-6,1.192,819.7E-3,819.7E-3,819.7E-3,819.7E-3,819.7E-3,819.7E-3,819.7E-3,819.7E-3
4.540E-12,1.200,1.200,1.200,-5.391E-6,-375.0E-6,-375.7E-6,-833.9E-6,1.192,655.2E-3,655.2E-3,655.2E-3,655.2E-3,655.2E-3,655.2E-3,655.2E-3,655.2E-3
5.649E-12,1.200,1.200,1.200,676.0E-9,-166.3E-6,-165.7E-6,-388.8E-6,1.195,522.1E-3,522.1E-3,522.1E-3,522.1E-3,522.1E-3,522.1E-3,522.1E-3,522.1E-3
6.561E-12,1.200,1.200,1.200,14.33E-6,289.2E-6,292.1E-6,593.9E-6,1.202,412.7E-3,412.7E-3,412.7E-3,412.7E-3,412.7E-3,412.7E-3,412.7E-3,412.7E-3
7.499E-12,1.200,1.200,1.200,37.28E-6,1.111E-3,1.118E-3,2.365E-3,1.217,300.1E-3,300.1E-3,300.1E-3,300.1E-3,300.1E-3,300.1E-3,300.1E-3,300.1E-3
8.550E-12,1.200,1.200,1.200,63.64E-6,2.186E-3,2.197E-3,4.708E-3,1.237,174.0E-3,174.0E-3,174.0E-3,174.0E-3,174.0E-3,174.0E-3,174.0E-3,174.0E-3
9.275E-12,1.200,1.200,1.200,80.08E-6,2.979E-3,2.993E-3,6.449E-3,1.254,87.00E-3,87.00E-3,87.00E-3,87.00E-3,87.00E-3,87.00E-3,87.00E-3,87.00E-3
10.00E-12,1.200,1.200,1.200,95.81E-6,3.842E-3,3.858E-3,8.349E-3,1.275,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10.02E-12,1.200,1.200,1.200,96.46E-6,3.875E-3,3.892E-3,8.423E-3,1.276,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10.07E-12,1.200,1.200,1.200,97.82E-6,3.944E-3,3.961E-3,8.574E-3,1.278,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10.09E-12,1.200,1.200,1.200,98.50E-6,3.979E-3,3.995E-3,8.649E-3,1.279,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10.14E-12,1.200,1.200,1.200,99.79E-6,4.046E-3,4.063E-3,8.797E-3,1.281,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10.23E-12,1.200,1.200,1.200,102.2E-6,4.178E-3,4.195E-3,9.088E-3,1.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10.41E-12,1.200,1.200,1.200,106.4E-6,4.432E-3,4.449E-3,9.646E-3,1.292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10.77E-12,1.200,1.200,1.200,112.8E-6,4.899E-3,4.917E-3,10.68E-3,1.308,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11.50E-12,1.200,1.200,1.200,113.3E-6,5.517E-3,5.536E-3,12.08E-3,1.334,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12.36E-12,1.200,1.200,1.200,66.36E-6,4.723E-3,4.733E-3,10.44E-3,1.337,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13.10E-12,1.200,1.200,1.200,-27.40E-6,2.047E-3,2.039E-3,4.695E-3,1.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13.78E-12,1.200,1.200,1.200,-125.0E-6,-1.805E-3,-1.834E-3,-3.607E-3,1.188,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14.61E-12,1.200,1.200,1.200,-240.1E-6,-7.317E-3,-7.370E-3,-15.60E-3,1.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15.37E-12,1.199,1.200,1.200,-329.3E-6,-12.48E-3,-12.56E-3,-27.08E-3,841.8E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16.19E-12,1.199,1.200,1.200,-403.5E-6,-17.94E-3,-18.02E-3,-39.27E-3,634.5E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17.03E-12,1.199,1.200,1.200,-456.1E-6,-23.16E-3,-23.26E-3,-51.19E-3,427.5E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17.87E-12,1.199,1.200,1.200,-488.9E-6,-28.19E-3,-28.29E-3,-62.89E-3,247.7E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18.64E-12,1.199,1.200,1.200,-504.6E-6,-32.64E-3,-32.74E-3,-73.43E-3,141.1E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19.32E-12,1.199,1.199,1.199,-509.4E-6,-36.53E-3,-36.63E-3,-82.77E-3,87.99E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19.97E-12,1.199,1.199,1.199,-508.0E-6,-40.12E-3,-40.21E-3,-91.53E-3,56.45E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20.67E-12,1.199,1.199,1.199,-501.1E-6,-43.33E-3,-43.43E-3,-99.81E-3,35.43E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.56E-12,1.199,1.199,1.199,-486.9E-6,-45.28E-3,-45.36E-3,-106.6E-3,19.75E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22.66E-12,1.199,1.199,1.199,-464.0E-6,-41.63E-3,-41.71E-3,-104.6E-3,9.817E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.85E-12,1.200,1.199,1.199,-437.6E-6,-25.27E-3,-25.33E-3,-81.30E-3,4.772E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25.11E-12,1.200,1.199,1.199,-411.4E-6,9.142E-3,9.085E-3,-21.38E-3,2.392E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26.44E-12,1.200,1.199,1.199,-377.9E-6,64.57E-3,64.56E-3,74.48E-3,1.192E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27.91E-12,1.200,1.200,1.200,-352.0E-6,143.0E-3,143.1E-3,203.0E-3,603.9E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29.16E-12,1.201,1.200,1.200,-326.9E-6,219.7E-3,219.8E-3,317.4E-3,327.1E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30.30E-12,1.201,1.200,1.200,-290.2E-6,294.4E-3,294.5E-3,413.3E-3,213.9E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31.29E-12,1.201,1.200,1.200,-237.1E-6,362.4E-3,362.6E-3,483.4E-3,123.4E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32.40E-12,1.201,1.200,1.200,-138.1E-6,440.6E-3,440.9E-3,537.7E-3,92.33E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33.43E-12,1.202,1.201,1.200,15.97E-6,515.9E-3,516.2E-3,557.8E-3,42.88E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34.55E-12,1.202,1.202,1.202,230.6E-6,600.6E-3,600.6E-3,546.5E-3,42.07E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35.58E-12,1.202,1.204,1.204,418.8E-6,679.6E-3,679.2E-3,514.5E-3,11.47E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.79E-12,1.202,1.207,1.207,473.1E-6,770.1E-3,769.4E-3,462.8E-3,21.83E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37.98E-12,1.201,1.210,1.210,310.5E-6,851.3E-3,850.4E-3,404.7E-3,-1.666E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.26E-12,1.201,1.213,1.214,20.82E-6,922.7E-3,921.8E-3,341.3E-3,13.01E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40.74E-12,1.201,1.217,1.217,-299.4E-6,984.0E-3,983.2E-3,274.8E-3,-6.243E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42.52E-12,1.200,1.220,1.220,-456.6E-6,1.037,1.037,208.7E-3,9.485E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44.35E-12,1.200,1.223,1.223,-447.7E-6,1.077,1.077,155.6E-3,-7.636E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46.06E-12,1.200,1.227,1.227,-312.2E-6,1.105,1.105,117.4E-3,8.531E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48.11E-12,1.200,1.233,1.233,-357.9E-6,1.130,1.130,83.30E-3,-7.844E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50.09E-12,1.200,1.239,1.239,-508.4E-6,1.148,1.147,59.87E-3,8.250E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51.91E-12,1.200,1.236,1.235,-445.8E-6,1.160,1.159,44.45E-3,-7.820E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54.06E-12,1.200,1.182,1.183,-521.8E-6,1.169,1.170,31.69E-3,8.124E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55.67E-12,1.200,1.073,1.075,-1.107E-3,1.175,1.176,24.89E-3,-7.749E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57.14E-12,1.200,924.4E-3,929.7E-3,-1.807E-3,1.178,1.180,20.22E-3,8.013E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58.97E-12,1.200,689.0E-3,701.2E-3,-2.341E-3,1.182,1.184,15.85E-3,-7.644E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60.70E-12,1.200,439.5E-3,460.1E-3,-2.451E-3,1.184,1.186,12.83E-3,7.911E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62.32E-12,1.200,221.5E-3,246.1E-3,-2.008E-3,1.186,1.188,10.71E-3,-7.555E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63.64E-12,1.200,104.8E-3,120.6E-3,-1.409E-3,1.188,1.189,9.361E-3,7.715E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64.68E-12,1.200,59.36E-3,68.29E-3,-936.9E-6,1.188,1.190,8.475E-3,-7.465E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
65.95E-12,1.200,31.08E-3,35.53E-3,-446.2E-6,1.190,1.191,7.578E-3,7.640E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
67.00E-12,1.200,19.09E-3,21.35E-3,-115.8E-6,1.191,1.191,6.950E-3,-7.308E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
68.29E-12,1.200,11.40E-3,12.18E-3,177.5E-6,1.193,1.192,6.300E-3,7.509E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
69.91E-12,1.200,6.918E-3,6.985E-3,447.2E-6,1.196,1.193,5.629E-3,-7.174E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
71.76E-12,1.200,4.678E-3,4.511E-3,658.1E-6,1.202,1.197,5.018E-3,7.417E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
73.65E-12,1.200,3.512E-3,2.485E-3,783.9E-6,1.209,1.202,4.521E-3,-7.086E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
75.57E-12,1.200,2.733E-3,154.9E-6,847.7E-6,1.216,1.210,4.109E-3,7.334E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
77.38E-12,1.200,2.198E-3,-1.626E-3,869.5E-6,1.223,1.219,3.790E-3,-7.010E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
79.14E-12,1.200,1.788E-3,-1.112E-3,867.6E-6,1.229,1.230,3.526E-3,7.186E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
80.50E-12,1.200,1.537E-3,704.7E-6,855.2E-6,1.232,1.236,3.349E-3,-6.821E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
81.77E-12,1.200,1.324E-3,2.290E-3,836.4E-6,1.229,1.231,3.198E-3,7.171E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
83.53E-12,1.200,1.082E-3,3.279E-3,800.5E-6,1.208,1.197,3.014E-3,-6.814E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
84.86E-12,1.200,919.3E-6,3.052E-3,768.9E-6,1.180,1.152,2.887E-3,6.966E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
86.03E-12,1.200,793.8E-6,2.268E-3,739.3E-6,1.147,1.107,2.785E-3,-6.738E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
87.18E-12,1.200,646.7E-6,1.239E-3,710.0E-6,1.109,1.060,2.691E-3,6.902E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
88.25E-12,1.199,465.4E-6,470.6E-6,683.0E-6,1.071,1.015,2.611E-3,-6.602E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
89.81E-12,1.199,61.44E-6,-597.6E-6,643.6E-6,1.010,946.6E-3,2.500E-3,6.728E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
90.97E-12,1.198,-309.0E-6,-1.132E-3,614.2E-6,961.8E-3,894.5E-3,2.425E-3,-6.509E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
92.04E-12,1.198,-592.1E-6,-1.255E-3,587.6E-6,916.1E-3,845.0E-3,2.358E-3,6.664E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
93.31E-12,1.198,-817.6E-6,-1.024E-3,556.8E-6,860.3E-3,784.3E-3,2.285E-3,-6.372E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
94.53E-12,1.197,-958.7E-6,-570.8E-6,528.4E-6,804.2E-3,722.6E-3,2.217E-3,6.559E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
95.85E-12,1.197,-1.044E-3,-77.32E-6,498.8E-6,740.4E-3,652.0E-3,2.150E-3,-6.264E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
97.56E-12,1.197,-1.101E-3,415.3E-6,462.2E-6,651.2E-3,553.3E-3,2.066E-3,6.465E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
99.74E-12,1.197,-1.166E-3,841.8E-6,418.3E-6,527.7E-3,421.7E-3,1.970E-3,-6.176E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
102.1E-12,1.198,-1.707E-3,1.113E-3,373.7E-6,387.4E-3,290.5E-3,1.871E-3,6.402E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
104.3E-12,1.201,-2.798E-3,1.200E-3,336.8E-6,277.3E-3,202.7E-3,1.793E-3,-6.056E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
106.1E-12,1.204,-3.823E-3,1.236E-3,308.2E-6,206.0E-3,148.7E-3,1.731E-3,6.349E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
108.5E-12,1.210,-4.222E-3,1.242E-3,271.9E-6,136.6E-3,96.74E-3,1.655E-3,-6.058E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
110.5E-12,1.215,-3.073E-3,1.268E-3,244.6E-6,96.19E-3,67.04E-3,1.593E-3,6.275E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
112.6E-12,1.219,-908.5E-6,1.291E-3,220.5E-6,67.57E-3,46.28E-3,1.536E-3,-6.002E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
114.6E-12,1.223,827.0E-6,1.329E-3,202.2E-6,49.23E-3,33.26E-3,1.485E-3,6.211E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
116.8E-12,1.228,2.040E-3,1.346E-3,183.7E-6,34.66E-3,23.17E-3,1.432E-3,-5.942E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
119.2E-12,1.237,2.384E-3,1.342E-3,166.6E-6,24.78E-3,16.33E-3,1.377E-3,6.150E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
121.4E-12,1.246,1.616E-3,1.263E-3,151.4E-6,18.94E-3,12.18E-3,1.332E-3,-5.890E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
123.8E-12,1.209,316.1E-6,1.124E-3,135.4E-6,14.15E-3,9.140E-3,1.282E-3,6.057E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
125.6E-12,1.086,-595.3E-6,954.7E-6,124.6E-6,11.29E-3,7.664E-3,1.251E-3,-5.842E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
126.9E-12,929.1E-3,-1.001E-3,790.8E-6,116.9E-6,9.442E-3,6.808E-3,1.227E-3,6.018E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
128.7E-12,657.0E-3,-880.3E-6,445.3E-6,107.0E-6,7.404E-3,5.888E-3,1.198E-3,-5.759E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
130.1E-12,409.4E-3,-418.6E-6,39.03E-6,99.72E-6,6.136E-3,5.301E-3,1.172E-3,5.940E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
131.4E-12,210.5E-3,33.66E-6,-603.8E-6,93.36E-6,5.301E-3,4.858E-3,1.152E-3,-5.685E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
132.5E-12,107.5E-3,320.0E-6,-1.305E-3,88.71E-6,4.800E-3,4.556E-3,1.134E-3,5.775E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
133.4E-12,63.38E-3,525.9E-6,-2.024E-3,84.81E-6,4.481E-3,4.327E-3,1.122E-3,-5.603E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
134.3E-12,39.50E-3,667.4E-6,-2.736E-3,81.38E-6,4.245E-3,4.142E-3,1.108E-3,5.691E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
135.2E-12,24.15E-3,787.2E-6,-3.523E-3,77.52E-6,4.038E-3,3.950E-3,1.096E-3,-5.456E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
136.4E-12,13.63E-3,886.6E-6,-4.409E-3,73.04E-6,3.833E-3,3.741E-3,1.078E-3,5.589E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
137.9E-12,7.644E-3,971.7E-6,-5.304E-3,67.70E-6,3.640E-3,3.506E-3,1.059E-3,-5.350E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
139.7E-12,4.528E-3,1.028E-3,-6.069E-3,61.74E-6,3.459E-3,3.262E-3,1.034E-3,5.523E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
142.1E-12,2.915E-3,1.063E-3,-6.621E-3,54.81E-6,3.273E-3,2.994E-3,1.006E-3,-5.282E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
145.5E-12,1.765E-3,1.045E-3,-6.672E-3,46.72E-6,3.045E-3,2.696E-3,964.7E-6,5.476E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
149.1E-12,1.095E-3,980.0E-6,-5.690E-3,39.67E-6,2.810E-3,2.434E-3,927.1E-6,-5.243E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
153.6E-12,574.5E-6,852.1E-6,-3.150E-3,32.32E-6,2.530E-3,2.178E-3,880.2E-6,5.441E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
157.4E-12,356.6E-6,734.9E-6,-639.6E-6,26.97E-6,2.317E-3,1.996E-3,846.9E-6,-5.217E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
161.0E-12,202.2E-6,626.4E-6,1.674E-3,23.64E-6,2.135E-3,1.853E-3,813.9E-6,5.411E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
165.2E-12,130.8E-6,523.3E-6,3.804E-3,19.85E-6,1.952E-3,1.704E-3,782.0E-6,-5.167E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
168.5E-12,68.32E-6,445.8E-6,4.457E-3,17.52E-6,1.828E-3,1.609E-3,755.9E-6,5.376E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
172.1E-12,56.26E-6,377.8E-6,4.208E-3,15.49E-6,1.708E-3,1.510E-3,732.7E-6,-5.163E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
177.1E-12,11.40E-6,288.5E-6,3.376E-3,13.61E-6,1.563E-3,1.397E-3,698.6E-6,5.348E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
183.4E-12,13.61E-6,207.9E-6,2.346E-3,11.59E-6,1.408E-3,1.266E-3,662.7E-6,-5.139E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
188.8E-12,-9.273E-6,154.0E-6,1.689E-3,10.25E-6,1.299E-3,1.179E-3,631.9E-6,5.322E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
194.8E-12,7.045E-6,116.2E-6,1.147E-3,8.716E-6,1.192E-3,1.086E-3,603.6E-6,-5.122E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
201.8E-12,-10.24E-6,79.46E-6,740.8E-6,7.303E-6,1.088E-3,1.001E-3,570.1E-6,5.300E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
211.6E-12,7.237E-6,52.06E-6,390.6E-6,5.704E-6,966.9E-6,893.3E-6,532.1E-6,-5.109E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
225.1E-12,-9.273E-6,25.91E-6,171.0E-6,4.356E-6,837.5E-6,783.7E-6,483.6E-6,5.281E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
241.1E-12,7.645E-6,16.13E-6,59.03E-6,3.251E-6,719.5E-6,675.8E-6,438.6E-6,-5.103E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
260.9E-12,-8.246E-6,6.416E-6,24.97E-6,2.504E-6,612.0E-6,582.2E-6,389.5E-6,5.265E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
286.8E-12,7.741E-6,5.855E-6,3.664E-6,1.759E-6,508.4E-6,484.5E-6,341.7E-6,-5.103E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
324.4E-12,-7.827E-6,965.4E-9,7.065E-6,1.254E-6,407.3E-6,394.1E-6,285.9E-6,5.251E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
381.5E-12,7.644E-6,2.706E-6,-2.180E-6,724.2E-9,308.9E-6,298.5E-6,229.9E-6,-5.108E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
456.7E-12,-7.503E-6,-738.3E-9,4.576E-6,510.7E-9,233.7E-6,230.0E-6,178.8E-6,5.238E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
557.8E-12,7.470E-6,1.807E-6,-3.324E-6,260.2E-9,173.3E-6,168.9E-6,138.3E-6,-5.114E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
693.2E-12,-7.276E-6,-1.185E-6,3.990E-6,224.5E-9,129.2E-6,129.0E-6,102.7E-6,5.230E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
879.1E-12,7.257E-6,1.543E-6,-3.593E-6,90.62E-9,93.46E-6,91.11E-6,76.84E-6,-5.118E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.134E-9,-7.064E-6,-1.300E-6,3.833E-6,125.7E-9,68.74E-6,69.68E-6,54.24E-6,5.224E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.485E-9,7.082E-6,1.463E-6,-3.656E-6,35.74E-9,48.55E-6,46.89E-6,39.88E-6,-5.121E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.971E-9,-6.934E-6,-1.325E-6,3.789E-6,95.74E-9,35.83E-6,37.10E-6,26.85E-6,5.222E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.642E-9,6.997E-6,1.438E-6,-3.670E-6,19.84E-9,24.62E-6,23.15E-6,20.03E-6,-5.122E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.578E-9,-6.876E-6,-1.328E-6,3.777E-6,87.34E-9,18.56E-6,19.92E-6,12.73E-6,5.221E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.289E-9,6.945E-6,1.429E-6,-3.671E-6,16.14E-9,14.18E-6,12.76E-6,11.65E-6,-5.122E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5.000E-9,-6.819E-6,-1.324E-6,3.771E-6,85.77E-9,13.12E-6,14.49E-6,8.452E-6,5.220E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5.000E-9,947.8E-9,3.462E-9,1.171E-6,63.18E-9,13.74E-6,13.71E-6,10.32E-6,35.33E-6,0.000,0.000,0.000,1.172E-3,0.000,0.000,0.000,0.000
5.000E-9,3.267E-6,321.8E-9,27.16E-9,60.23E-9,15.97E-6,15.46E-6,12.54E-6,109.3E-6,0.000,0.000,0.000,3.516E-3,0.000,0.000,0.000,0.000
5.000E-9,1.391E-6,97.38E-9,856.3E-9,86.08E-9,20.98E-6,20.81E-6,17.40E-6,254.4E-6,0.000,0.000,0.000,8.203E-3,0.000,0.000,0.000,0.000
